index,word,emoji1,emoji2,description
149,barely,📉,⏳,Chart with Downwards with Hourglass with Flowing together illustrate movement or relation, pointing to 'barely'
150,bargain,🏷,💵,Label and Banknote with Dollar hint at sound or naming cues associated with 'bargain'
151,barrel,🛢,🛢,Oil Drum and Oil Drum evoke the core meaning or feeling behind 'barrel'
152,base,🧱,📏,Brick and Straight Ruler evoke the core meaning or feeling behind 'base'
153,basic,📚,🔤,Books plus Input Symbol For form a recognizable group, reinforcing the idea of 'basic'
154,basket,🧺,📦,Basket and Package evoke the core meaning or feeling behind 'basket'
155,battle,⚔,🏰,Crossed Swords with European Castle together illustrate movement or relation, pointing to 'battle'
156,beach,🏖,🏖,Beach with Umbrella and Beach with Umbrella evoke the core meaning or feeling behind 'beach'
157,bean,🫘,🫘,Beans and Beans evoke the core meaning or feeling behind 'bean'
158,beauty,🌸,🌟,Cherry Blossom and Glowing Star evoke the core meaning or feeling behind 'beauty'
159,because,🧠,🔗,Brain plus Link Symbol form a recognizable group, reinforcing the idea of 'because'
160,become,🐛,🦋,Bug and Butterfly evoke the core meaning or feeling behind 'become'
161,beef,🥩,🥩,Cut of Meat and Cut of Meat evoke the core meaning or feeling behind 'beef'
162,before,⏮,📅,Black Left-pointing Double with Calendar together illustrate movement or relation, pointing to 'before'
163,begin,▶,🏁,Black Right-pointing Triangle with Chequered Flag together illustrate movement or relation, pointing to 'begin'
164,behave,🧍,😇,Standing Person and Smiling Face with evoke the core meaning or feeling behind 'behave'
165,behind,⬅,📍,Leftwards Black Arrow with Round Pushpin together illustrate movement or relation, pointing to 'behind'
166,believe,🤲,🤲,Palms Up Together with Palms Up Together together illustrate movement or relation, pointing to 'believe'
167,below,👇,👇,White Down Pointing with White Down Pointing together illustrate movement or relation, pointing to 'below'
168,belt,🧵,🪢,Spool of Thread and Knot evoke the core meaning or feeling behind 'belt'
169,bench,🪑,🏟,Chair and Stadium evoke the core meaning or feeling behind 'bench'
170,benefit,💰,📈,Money Bag with Chart with Upwards together illustrate movement or relation, pointing to 'benefit'
171,best,🥇,🌟,First Place Medal and Glowing Star evoke the core meaning or feeling behind 'best'
172,betray,🤫,⚔,Face with Finger with Crossed Swords together illustrate movement or relation, pointing to 'betray'
173,better,📈,👍,Chart with Upwards with Thumbs Up Sign together illustrate movement or relation, pointing to 'better'
174,between,↔,📍,Left Right Arrow with Round Pushpin together illustrate movement or relation, pointing to 'between'
175,beyond,🚀,🌌,Rocket and Milky Way evoke the core meaning or feeling behind 'beyond'
176,bicycle,🚲,🚲,Bicycle and Bicycle evoke the core meaning or feeling behind 'bicycle'
177,bid,🏷,✋,Label and Raised Hand evoke the core meaning or feeling behind 'bid'
178,bike,🚴,🚴,Bicyclist and Bicyclist evoke the core meaning or feeling behind 'bike'
179,bind,🪢,📚,Knot plus Books form a recognizable group, reinforcing the idea of 'bind'
180,biology,🧬,📚,Dna Double Helix plus Books form a recognizable group, reinforcing the idea of 'biology'
181,bird,🐦,🐦,Bird plus Bird form a recognizable group, reinforcing the idea of 'bird'
182,birth,👶,🎉,Baby and Party Popper evoke the core meaning or feeling behind 'birth'
183,bitter,😖,🍋,Confounded Face and Lemon evoke the core meaning or feeling behind 'bitter'
184,black,⚫,⚫,Medium Black Circle and Medium Black Circle evoke the core meaning or feeling behind 'black'
185,blade,🔪,🗡,Hocho and Dagger Knife evoke the core meaning or feeling behind 'blade'
186,blame,☝,❗,White Up Pointing with Heavy Exclamation Mark together illustrate movement or relation, pointing to 'blame'
187,blanket,🧶,🛌,Ball of Yarn and Sleeping Accommodation evoke the core meaning or feeling behind 'blanket'
188,blast,💥,🌪,Collision Symbol plus Cloud with Tornado form a recognizable group, reinforcing the idea of 'blast'
189,bleak,🌫,🥶,Fog and Freezing Face evoke the core meaning or feeling behind 'bleak'
190,bless,🙏,✨,Person with Folded and Sparkles evoke the core meaning or feeling behind 'bless'
191,blind,🙈,🚫,See-no-evil Monkey plus No Entry Sign form a recognizable group, reinforcing the idea of 'blind'
192,blood,🩸,🩸,Drop of Blood and Drop of Blood evoke the core meaning or feeling behind 'blood'
193,blossom,🌸,🌺,Cherry Blossom and Hibiscus evoke the core meaning or feeling behind 'blossom'
194,blouse,👚,👚,Womans Clothes and Womans Clothes evoke the core meaning or feeling behind 'blouse'
195,blue,🔵,🔵,Large Blue Circle and Large Blue Circle evoke the core meaning or feeling behind 'blue'
196,blur,🌫,🔍,Fog with Left-pointing Magnifying Glass together illustrate movement or relation, pointing to 'blur'
197,blush,😊,🌸,Smiling Face with and Cherry Blossom evoke the core meaning or feeling behind 'blush'
198,board,🧱,📋,Brick and Clipboard evoke the core meaning or feeling behind 'board'
199,boat,🚤,🚤,Speedboat and Speedboat evoke the core meaning or feeling behind 'boat'
200,body,🧍,🫀,Standing Person and Anatomical Heart evoke the core meaning or feeling behind 'body'
201,boil,🔥,💧,Fire plus Droplet form a recognizable group, reinforcing the idea of 'boil'
202,bomb,💣,💣,Bomb and Bomb evoke the core meaning or feeling behind 'bomb'
203,bone,🦴,🦴,Bone and Bone evoke the core meaning or feeling behind 'bone'
204,bonus,🎁,💵,Wrapped Present and Banknote with Dollar hint at sound or naming cues associated with 'bonus'
205,book,📖,📖,Open Book plus Open Book form a recognizable group, reinforcing the idea of 'book'
206,boost,📈,⚡,Chart with Upwards with High Voltage Sign together illustrate movement or relation, pointing to 'boost'
207,border,🚧,🏁,Construction Sign and Chequered Flag evoke the core meaning or feeling behind 'border'
208,boring,🥱,⌛,Yawning Face and Hourglass evoke the core meaning or feeling behind 'boring'
209,borrow,🔁,💵,Clockwise Rightwards and and Banknote with Dollar hint at sound or naming cues associated with 'borrow'
210,boss,👑,👔,Crown and Necktie evoke the core meaning or feeling behind 'boss'
211,bottom,⬇,📏,Downwards Black Arrow with Straight Ruler together illustrate movement or relation, pointing to 'bottom'
212,bounce,🏀,🔄,Basketball and Hoop with Anticlockwise Downwards and together illustrate movement or relation, pointing to 'bounce'
213,box,📦,📥,Package and Inbox Tray evoke the core meaning or feeling behind 'box'
214,boy,👦,👦,Boy and Boy evoke the core meaning or feeling behind 'boy'
215,bracket,📐,🗂,Triangular Ruler plus Card Index Dividers form a recognizable group, reinforcing the idea of 'bracket'
216,brain,🧠,🧠,Brain plus Brain form a recognizable group, reinforcing the idea of 'brain'
217,brand,🏷,🏢,Label and Office Building evoke the core meaning or feeling behind 'brand'
218,brass,🧲,🟡,Magnet and Large Yellow Circle evoke the core meaning or feeling behind 'brass'
219,brave,🦁,💪,Lion Face and Flexed Biceps evoke the core meaning or feeling behind 'brave'
220,bread,🍞,🍞,Bread and Bread evoke the core meaning or feeling behind 'bread'
221,breeze,🌬,🍃,Wind Blowing Face plus Leaf Fluttering in form a recognizable group, reinforcing the idea of 'breeze'
222,brick,🧱,🧱,Brick and Brick evoke the core meaning or feeling behind 'brick'
223,bridge,🌉,🌉,Bridge At Night with Bridge At Night together illustrate movement or relation, pointing to 'bridge'
224,brief,📄,⏱,Page Facing Up with Stopwatch together illustrate movement or relation, pointing to 'brief'
225,bright,💡,🌟,Electric Light Bulb and Glowing Star evoke the core meaning or feeling behind 'bright'
226,bring,🤲,➡,Palms Up Together with Black Rightwards Arrow together illustrate movement or relation, pointing to 'bring'
227,brisk,💨,❄,Dash Symbol plus Snowflake form a recognizable group, reinforcing the idea of 'brisk'
228,broccoli,🥦,🥦,Broccoli and Broccoli evoke the core meaning or feeling behind 'broccoli'
229,broken,❌,🧩,Cross Mark with Jigsaw Puzzle Piece together illustrate movement or relation, pointing to 'broken'
230,bronze,🟤,🏅,Large Brown Circle and Sports Medal evoke the core meaning or feeling behind 'bronze'
231,broom,🧹,🧹,Broom and Broom evoke the core meaning or feeling behind 'broom'
232,brother,👦,🤝,Boy and Handshake evoke the core meaning or feeling behind 'brother'
233,brown,🟤,🟤,Large Brown Circle and Large Brown Circle evoke the core meaning or feeling behind 'brown'
234,brush,🪥,🪥,Toothbrush and Toothbrush evoke the core meaning or feeling behind 'brush'
235,bubble,🫧,🫧,Bubbles and Bubbles evoke the core meaning or feeling behind 'bubble'
236,buddy,👬,🤝,Two Men Holding and Handshake evoke the core meaning or feeling behind 'buddy'
237,budget,💵,📊,Banknote with Dollar and Bar Chart hint at sound or naming cues associated with 'budget'
238,buffalo,🦬,🦬,Bison and Bison evoke the core meaning or feeling behind 'buffalo'
239,build,🧱,🔧,Brick plus Wrench form a recognizable group, reinforcing the idea of 'build'
240,bulb,💡,💡,Electric Light Bulb and Electric Light Bulb evoke the core meaning or feeling behind 'bulb'
241,bulk,📦,🛒,Package and Shopping Trolley evoke the core meaning or feeling behind 'bulk'
242,bullet,🔫,🔘,Pistol and Radio Button evoke the core meaning or feeling behind 'bullet'
243,bundle,📦,🪢,Package and Knot evoke the core meaning or feeling behind 'bundle'
244,bunker,🏚,🛡,Derelict House Building and Shield evoke the core meaning or feeling behind 'bunker'
245,burden,🧱,📉,Brick with Chart with Downwards together illustrate movement or relation, pointing to 'burden'
246,burger,🍔,🍔,Hamburger and Hamburger evoke the core meaning or feeling behind 'burger'
247,burst,💥,❗,Collision Symbol and Heavy Exclamation Mark evoke the core meaning or feeling behind 'burst'
248,bus,🚌,🚌,Bus and Bus evoke the core meaning or feeling behind 'bus'
249,business,💼,🏢,Briefcase and Office Building evoke the core meaning or feeling behind 'business'
250,busy,📥,😩,Inbox Tray and Weary Face evoke the core meaning or feeling behind 'busy'
251,butter,🧈,🧈,Butter and Butter evoke the core meaning or feeling behind 'butter'
252,buyer,🧑,💳,Adult plus Credit Card form a recognizable group, reinforcing the idea of 'buyer'
253,buzz,🐝,🔊,Honeybee and Speaker with Three hint at sound or naming cues associated with 'buzz'
254,cabbage,🥬,🥬,Leafy Green plus Leafy Green form a recognizable group, reinforcing the idea of 'cabbage'
255,cabin,🏚,🌲,Derelict House Building plus Evergreen Tree form a recognizable group, reinforcing the idea of 'cabin'
256,cable,🔌,🪢,Electric Plug and Knot evoke the core meaning or feeling behind 'cable'
257,cactus,🌵,🌵,Cactus and Cactus evoke the core meaning or feeling behind 'cactus'
258,cage,🪺,🔒,Nest with Eggs plus Lock form a recognizable group, reinforcing the idea of 'cage'
259,cake,🍰,🍰,Shortcake and Shortcake evoke the core meaning or feeling behind 'cake'
260,call,📞,🗣,Telephone Receiver and Speaking Head in evoke the core meaning or feeling behind 'call'
261,calm,😌,🌊,Relieved Face plus Water Wave form a recognizable group, reinforcing the idea of 'calm'
262,camera,📷,📷,Camera and Camera evoke the core meaning or feeling behind 'camera'
263,camp,🏕,🏕,Camping and Camping evoke the core meaning or feeling behind 'camp'
264,can,🥫,🥫,Canned Food and Canned Food evoke the core meaning or feeling behind 'can'
265,canal,🚤,🛣,Speedboat and Motorway evoke the core meaning or feeling behind 'canal'
266,cancel,❌,🗓,Cross Mark with Spiral Calendar Pad together illustrate movement or relation, pointing to 'cancel'
267,candy,🍬,🍬,Candy and Candy evoke the core meaning or feeling behind 'candy'
268,cannon,💣,🛡,Bomb and Shield evoke the core meaning or feeling behind 'cannon'
269,canoe,🛶,🛶,Canoe and Canoe evoke the core meaning or feeling behind 'canoe'
270,canvas,🖼,🎨,Frame with Picture and Artist Palette evoke the core meaning or feeling behind 'canvas'
271,canyon,🏜,📏,Desert and Straight Ruler evoke the core meaning or feeling behind 'canyon'
272,capable,✅,💪,White Heavy Check and Flexed Biceps evoke the core meaning or feeling behind 'capable'
273,capital,🏛,💰,Classical Building and Money Bag evoke the core meaning or feeling behind 'capital'
274,captain,🧑,🚢,Adult and Ship evoke the core meaning or feeling behind 'captain'
275,car,🚗,🚗,Automobile and Automobile evoke the core meaning or feeling behind 'car'
276,carbon,🧪,🧱,Test Tube and Brick evoke the core meaning or feeling behind 'carbon'
277,card,💳,💳,Credit Card plus Credit Card form a recognizable group, reinforcing the idea of 'card'
278,cargo,🚚,📦,Delivery Truck and Package evoke the core meaning or feeling behind 'cargo'
279,carpet,🧶,🏠,Ball of Yarn and House Building evoke the core meaning or feeling behind 'carpet'
280,carry,🤲,🚚,Palms Up Together with Delivery Truck together illustrate movement or relation, pointing to 'carry'
281,cart,🛒,🛒,Shopping Trolley and Shopping Trolley evoke the core meaning or feeling behind 'cart'
282,case,📦,📄,Package with Page Facing Up together illustrate movement or relation, pointing to 'case'
283,cash,💵,💵,Banknote with Dollar and Banknote with Dollar hint at sound or naming cues associated with 'cash'
284,casino,🎰,🎰,Slot Machine and Slot Machine evoke the core meaning or feeling behind 'casino'
285,castle,🏰,🏰,European Castle and European Castle evoke the core meaning or feeling behind 'castle'
286,casual,🙂,👕,Slightly Smiling Face and T-shirt evoke the core meaning or feeling behind 'casual'
287,cat,🐱,🐱,Cat Face plus Cat Face form a recognizable group, reinforcing the idea of 'cat'
288,catalog,📚,🏷,Books plus Label form a recognizable group, reinforcing the idea of 'catalog'
289,catch,✋,🎣,Raised Hand plus Fishing Pole and form a recognizable group, reinforcing the idea of 'catch'
290,category,🗂,📁,Card Index Dividers plus File Folder form a recognizable group, reinforcing the idea of 'category'
291,cattle,🐄,🐄,Cow plus Cow form a recognizable group, reinforcing the idea of 'cattle'
292,caught,🎣,✋,Fishing Pole and plus Raised Hand form a recognizable group, reinforcing the idea of 'caught'
293,cause,🎯,📜,Direct Hit and Scroll evoke the core meaning or feeling behind 'cause'
294,caution,⚠,⛔,Warning Sign and No Entry evoke the core meaning or feeling behind 'caution'
295,cave,🕳,🪨,Hole and Rock evoke the core meaning or feeling behind 'cave'
296,ceiling,🛋️,☝️,Couch and Lamp with White Up Pointing together illustrate movement or relation, pointing to 'ceiling'
297,celery,🥬,🥬,Leafy Green plus Leafy Green form a recognizable group, reinforcing the idea of 'celery'
298,cement,🧱,🗿,Brick and Moyai evoke the core meaning or feeling behind 'cement'
299,census,📊,🏠,Bar Chart and House Building evoke the core meaning or feeling behind 'census'
300,century,📅,💯,Calendar and Hundred Points Symbol evoke the core meaning or feeling behind 'century'
